ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
EGLL,40NM,MT,27R,"(170,230]",20,17.906666666666666,16.426666666666666,17.854166666666668,17.140416666666667,NA,ARR
EGLL,40NM,MT,27R,"(230,300]",1,20.066666666666666,20.066666666666666,20.066666666666666,20.066666666666666,NA,ARR
EGLL,40NM,MT,27R,"(300,360]",295,17.506666666666664,16.125,17.235,16.68,NA,ARR
EGLL,100NM,H,09L,NA,8721,26.65,24.816666666666666,26.15,25.483333333333334,"(0,110]",ARR
EGLL,100NM,H,09L,NA,1173,25.82333333333333,23.883333333333333,25.4,24.641666666666666,"(110,170]",ARR
EGLL,100NM,H,09L,NA,824,23.826666666666668,21.154999999999998,23.166666666666668,22.160833333333333,"(170,230]",ARR
EGLL,100NM,H,09L,NA,6508,26.933333333333334,23.333333333333332,25.916666666666668,24.625,"(230,300]",ARR
EGLL,100NM,H,09L,NA,6880,24.966666666666665,21.816666666666666,24.0975,22.957083333333333,"(300,360]",ARR
EGLL,100NM,H,09R,NA,925,26.533333333333335,24.503333333333334,26.116666666666667,25.310000000000002,"(0,110]",ARR
EGLL,100NM,H,09R,NA,195,25.15,23.13666666666667,24.58833333333333,23.8625,"(110,170]",ARR
EGLL,100NM,H,09R,NA,101,21.483333333333334,19.55,20.983333333333334,20.266666666666666,"(170,230]",ARR
EGLL,100NM,H,09R,NA,482,28.779999999999998,24.6175,27.9525,26.285,"(230,300]",ARR
EGLL,100NM,H,09R,NA,71,28.983333333333334,22.78333333333333,25.458333333333332,24.12083333333333,"(300,360]",ARR
EGLL,100NM,H,27L,NA,11887,24.083333333333332,21.438333333333336,23.348333333333333,22.393333333333334,"(0,110]",ARR
EGLL,100NM,H,27L,NA,1999,23.759999999999998,20.65,22.928333333333335,21.789166666666667,"(110,170]",ARR
EGLL,100NM,H,27L,NA,1139,24.866666666666667,22.583333333333332,24.383333333333333,23.483333333333334,"(170,230]",ARR
EGLL,100NM,H,27L,NA,9629,27.75,25.283333333333335,27,26.141666666666666,"(230,300]",ARR
EGLL,100NM,H,27L,NA,6896,25.9,23.612499999999997,25.283333333333335,24.447916666666664,"(300,360]",ARR
EGLL,100NM,H,27R,NA,11946,23.716666666666665,21.166666666666668,22.966666666666665,22.066666666666666,"(0,110]",ARR
EGLL,100NM,H,27R,NA,1828,22.483333333333334,20.305833333333332,21.83416666666667,21.07,"(110,170]",ARR
EGLL,100NM,H,27R,NA,1116,24.366666666666667,22.6,23.85416666666667,23.227083333333336,"(170,230]",ARR
EGLL,100NM,H,27R,NA,8828,27.35,25.05,26.716666666666665,25.883333333333333,"(230,300]",ARR
EGLL,100NM,H,27R,NA,7972,25.916666666666668,23.533333333333335,25.2275,24.38041666666667,"(300,360]",ARR
EGLL,100NM,H,NA,NA,1,24.766666666666666,24.766666666666666,24.766666666666666,24.766666666666666,"(300,360]",ARR
