ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
EDDM,100NM,HEL,26L,NA,1,61.333333333333336,61.333333333333336,61.333333333333336,61.333333333333336,"(220,300]",ARR
EDDM,100NM,HEL,26L,NA,2,62.18333333333334,61.88333333333333,62.083333333333336,61.983333333333334,"(300,360]",ARR
EDDM,100NM,LJ,08L,NA,112,24.59,21.810833333333335,23.331666666666667,22.57125,"(0,90]",ARR
EDDM,100NM,LJ,08L,NA,69,22.23,20.42,21.933333333333334,21.17666666666667,"(90,220]",ARR
EDDM,100NM,LJ,08L,NA,41,20.716666666666665,19.7,20.283333333333335,19.991666666666667,"(220,300]",ARR
EDDM,100NM,LJ,08L,NA,124,20.503333333333334,19.286666666666665,20.16916666666667,19.727916666666665,"(300,360]",ARR
EDDM,100NM,LJ,08R,NA,20,24.06666666666667,22.3725,23.4775,22.924999999999997,"(0,90]",ARR
EDDM,100NM,LJ,08R,NA,177,22.136666666666667,21.136666666666663,21.82,21.47833333333333,"(90,220]",ARR
EDDM,100NM,LJ,08R,NA,74,20.986666666666665,19.22083333333333,20.765,19.992916666666666,"(220,300]",ARR
EDDM,100NM,LJ,08R,NA,35,20.826666666666664,19.366666666666667,20.173333333333336,19.770000000000003,"(300,360]",ARR
EDDM,100NM,LJ,26L,NA,37,21.279999999999998,20.03,20.96,20.495,"(0,90]",ARR
EDDM,100NM,LJ,26L,NA,217,23.416666666666668,21.740000000000002,23.17,22.455000000000002,"(90,220]",ARR
EDDM,100NM,LJ,26L,NA,106,24.733333333333334,23.225,24.3125,23.76875,"(220,300]",ARR
EDDM,100NM,LJ,26L,NA,44,24.763333333333335,23.314166666666665,24.427500000000002,23.870833333333334,"(300,360]",ARR
EDDM,100NM,LJ,26R,NA,138,22.096666666666664,20.765,21.800833333333333,21.282916666666665,"(0,90]",ARR
EDDM,100NM,LJ,26R,NA,113,23.426666666666666,21.17,22.976666666666667,22.073333333333334,"(90,220]",ARR
EDDM,100NM,LJ,26R,NA,104,24.34,22.146666666666665,23.666666666666668,22.906666666666666,"(220,300]",ARR
EDDM,100NM,LJ,26R,NA,198,23.5,21.4375,23.192500000000003,22.315,"(300,360]",ARR
EDDM,100NM,LP,08L,NA,1,36.86666666666667,36.86666666666667,36.86666666666667,36.86666666666667,"(220,300]",ARR
EDDM,100NM,LP,08L,NA,1,37.483333333333334,37.483333333333334,37.483333333333334,37.483333333333334,"(300,360]",ARR
EDDM,100NM,LP,26L,NA,1,44.333333333333336,44.333333333333336,44.333333333333336,44.333333333333336,"(90,220]",ARR
EDDM,100NM,LP,26L,NA,1,42.75,42.75,42.75,42.75,"(220,300]",ARR
EDDM,100NM,LP,26R,NA,1,42.983333333333334,42.983333333333334,42.983333333333334,42.983333333333334,"(220,300]",ARR
EDDM,100NM,LP,26R,NA,3,39.08,37.195,38.45166666666667,37.82333333333334,"(300,360]",ARR
EDDM,100NM,LT,08L,NA,13,29.976666666666667,29.21333333333334,29.773333333333333,29.493333333333336,"(0,90]",ARR
EDDM,100NM,LT,08L,NA,3,27.1,26.6,26.933333333333337,26.76666666666667,"(90,220]",ARR
EDDM,100NM,LT,08L,NA,20,24.73,22.770833333333332,24.544999999999998,23.657916666666665,"(220,300]",ARR
